"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","教育排名","出生西元年","年齡"
10052,2018,3,2,83,12,813,8,0,10,12,0,0,2,1,1,3,1,1,2,1,96,5,4,1,0,0,3,0,NA,NA,NA,NA,NA,0,1994,23
10123,2018,2,1,84,9,813,8,0,4,12,0,0,2,2,1,1,1,1,3,1,2,5,2,5,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
10133,2018,3,1,84,2,811,8,0,0,13,0,0,2,3,2,3,1,1,2,2,2,5,3,3,0,0,3,0,NA,NA,NA,NA,NA,0,1995,23
10421,2018,2,1,88,5,811,8,0,0,8,0,0,2,1,1,1,3,0,1,4,4,5,3,5,0,0,5,0,NA,NA,NA,NA,NA,0,1999,18
10422,2018,2,2,90,7,811,8,3,0,8,1,1,2,1,1,3,1,1,3,1,4,5,2,1,0,0,6,0,NA,NA,NA,NA,NA,3,2001,16
11101,2018,2,1,87,1,813,5,0,3,13,0,0,2,2,1,3,1,2,1,1,2,5,2,5,0,0,6,0,NA,NA,NA,NA,NA,0,1998,20
11102,2018,2,2,89,12,813,6,3,0,5,1,1,3,3,1,3,1,1,3,1,1,4,1,1,0,0,5,0,NA,NA,NA,NA,NA,2,2000,17
11182,2018,2,2,85,6,814,4,0,10,12,0,0,2,4,1,1,1,2,1,2,4,1,4,1,0,0,7,0,NA,NA,NA,NA,NA,0,1996,21
11443,2018,2,2,88,12,813,4,4,0,5,2,1,3,3,1,3,3,3,3,1,3,4,3,1,0,0,6,0,NA,NA,NA,NA,NA,1,1999,18
20021,2018,2,2,85,5,804,2,0,3,13,0,0,2,2,2,3,2,2,2,2,2,4,2,4,0,0,6,0,NA,NA,NA,NA,NA,0,1996,21
20063,2018,2,2,86,11,807,7,0,9,12,0,0,2,2,2,3,3,3,3,2,96,5,3,4,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
20101,2018,2,1,84,11,813,7,0,5,13,0,0,1,1,1,1,1,1,2,1,2,5,3,5,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
20102,2018,2,1,88,8,813,4,0,6,13,0,0,2,2,1,1,1,1,1,1,2,3,4,4,0,0,6,0,NA,NA,NA,NA,NA,0,1999,18
21032,2018,2,2,83,6,813,8,0,0,13,0,0,3,2,2,3,3,3,2,3,2,5,2,4,0,0,6,0,NA,NA,NA,NA,NA,0,1994,23
21071,2018,2,2,90,9,830,8,3,0,5,2,2,4,3,2,3,4,3,3,3,4,3,3,3,0,0,4,0,NA,NA,NA,NA,NA,3,2001,16
21081,2018,2,2,85,3,434,8,0,10,13,0,0,1,1,1,3,2,1,1,3,2,5,3,4,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
21082,2018,2,1,85,3,500,2,0,10,13,0,0,2,1,1,3,3,2,3,2,2,4,2,3,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
21121,2018,1,1,86,1,813,8,0,0,6,0,0,1,1,1,1,1,1,1,1,1,5,96,5,0,0,7,4,NA,NA,NA,NA,NA,0,1997,21
21251,2018,2,1,88,2,333,7,0,5,13,0,0,2,3,1,3,3,2,3,1,2,3,2,2,0,0,5,0,NA,NA,NA,NA,NA,0,1999,19
21252,2018,2,2,88,2,300,8,0,5,13,0,0,2,2,3,3,3,2,2,2,4,4,2,2,0,0,4,0,NA,NA,NA,NA,NA,0,1999,19
21411,2018,2,2,90,7,813,8,4,0,5,2,1,2,3,1,3,3,6,3,2,2,4,4,4,0,0,5,0,NA,NA,NA,NA,NA,1,2001,16
