"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","教育排名_2018_2020","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","高等教育排名_2022","大學教育排名_2022"
10052,2018,3,2,83,12,813,8,0,10,12,0,0,0,2,1,1,3,1,1,2,1,96,5,4,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA
10123,2018,2,1,84,9,813,8,0,4,12,0,0,0,2,2,1,1,1,1,3,1,2,5,2,5,0,0,5,4,NA,NA,NA,NA,NA,NA,NA
10133,2018,3,1,84,2,811,8,0,0,13,0,0,0,2,3,2,3,1,1,2,2,2,5,3,3,0,0,3,5,NA,NA,NA,NA,NA,NA,NA
10421,2018,2,1,88,5,811,8,0,0,8,0,0,0,2,1,1,1,3,0,1,4,4,5,3,5,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
10422,2018,2,2,90,7,811,8,3,0,8,3,1,1,2,1,1,3,1,1,3,1,4,5,2,1,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
11101,2018,2,1,87,1,813,5,0,3,13,0,0,0,2,2,1,3,1,2,1,1,2,5,2,5,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
11102,2018,2,2,89,12,813,6,3,0,5,2,1,1,3,3,1,3,1,1,3,1,1,4,1,1,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
11182,2018,2,2,85,6,814,4,0,10,12,0,0,0,2,4,1,1,1,2,1,2,4,1,4,1,0,0,7,7,NA,NA,NA,NA,NA,NA,NA
11443,2018,2,2,88,12,813,4,4,0,5,1,2,1,3,3,1,3,3,3,3,1,3,4,3,1,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
20021,2018,2,2,85,5,804,2,0,3,13,0,0,0,2,2,2,3,2,2,2,2,2,4,2,4,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
20063,2018,2,2,86,11,807,7,0,9,12,0,0,0,2,2,2,3,3,3,3,2,96,5,3,4,0,0,5,4,NA,NA,NA,NA,NA,NA,NA
20101,2018,2,1,84,11,813,7,0,5,13,0,0,0,1,1,1,1,1,1,2,1,2,5,3,5,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
20102,2018,2,1,88,8,813,4,0,6,13,0,0,0,2,2,1,1,1,1,1,1,2,3,4,4,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
21032,2018,2,2,83,6,813,8,0,0,13,0,0,0,3,2,2,3,3,3,2,3,2,5,2,4,0,0,6,5,NA,NA,NA,NA,NA,NA,NA
21071,2018,2,2,90,9,830,8,3,0,5,3,2,2,4,3,2,3,4,3,3,3,4,3,3,3,0,0,4,5,NA,NA,NA,NA,NA,NA,NA
21081,2018,2,2,85,3,434,8,0,10,13,0,0,0,1,1,1,3,2,1,1,3,2,5,3,4,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
21082,2018,2,1,85,3,500,2,0,10,13,0,0,0,2,1,1,3,3,2,3,2,2,4,2,3,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
21121,2018,1,1,86,1,813,8,0,0,6,0,0,0,1,1,1,1,1,1,1,1,1,5,96,5,0,0,7,6,NA,NA,NA,NA,NA,NA,NA
21251,2018,2,1,88,2,333,7,0,5,13,0,0,0,2,3,1,3,3,2,3,1,2,3,2,2,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
21252,2018,2,2,88,2,300,8,0,5,13,0,0,0,2,2,3,3,3,2,2,2,4,4,2,2,0,0,4,5,NA,NA,NA,NA,NA,NA,NA
21411,2018,2,2,90,7,813,8,4,0,5,1,2,1,2,3,1,3,3,6,3,2,2,4,4,4,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
21451,2018,1,1,87,10,815,8,0,5,13,0,0,0,3,3,3,3,3,6,2,1,5,4,4,4,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
21551,2018,3,1,89,7,807,4,4,0,6,3,2,3,3,4,2,3,3,2,2,6,2,4,2,4,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
21552,2018,3,2,90,10,807,4,6,0,8,2,2,2,3,4,2,2,1,4,3,2,4,5,3,4,0,0,3,3,NA,NA,NA,NA,NA,NA,NA
30193,2018,2,1,83,10,830,4,0,10,12,0,0,0,3,2,1,3,3,1,3,3,2,4,1,4,0,0,7,7,NA,NA,NA,NA,NA,NA,NA
31321,2018,2,2,87,3,709,7,0,8,13,0,0,0,4,2,2,2,1,1,2,1,2,5,3,5,0,0,6,7,NA,NA,NA,NA,NA,NA,NA
31371,2018,2,1,84,4,802,8,0,0,8,0,0,0,1,1,2,1,1,2,2,2,99,9,6,0,0,0,5,3,NA,NA,NA,NA,NA,NA,NA
31421,2018,3,2,86,1,840,8,0,7,13,0,0,0,1,1,1,1,1,3,3,2,3,4,2,2,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
41131,2018,2,2,85,6,807,8,0,6,13,0,0,0,3,3,2,3,3,3,3,3,2,4,2,4,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41132,2018,1,2,86,7,807,8,0,7,12,0,0,0,3,3,1,3,3,3,2,2,2,5,2,5,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41151,2018,3,1,88,9,807,4,4,0,5,3,3,2,2,1,1,1,1,1,1,6,2,5,2,5,0,0,3,5,NA,NA,NA,NA,NA,NA,NA
