respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
10052,2018,3,2,83,12,813,8,12,NA,NA,2,1,1,3,1,1,2,1,NA,5,4,1,3,2,NA,NA,NA,NA,NA,NA,10,5
10123,2018,2,1,84,9,813,8,12,NA,NA,2,2,1,1,1,1,3,1,2,5,2,5,5,4,NA,NA,NA,NA,NA,NA,4,2
10133,2018,3,1,84,2,811,8,13,NA,NA,2,3,2,3,1,1,2,2,2,5,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA
10421,2018,2,1,88,5,811,8,8,NA,NA,2,1,1,1,3,NA,1,4,4,5,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
10422,2018,2,2,90,7,811,8,8,1,1,2,1,1,3,1,1,3,1,4,5,2,1,6,6,NA,NA,NA,NA,NA,3,3,2
11101,2018,2,1,87,1,813,5,13,NA,NA,2,2,1,3,1,2,1,1,2,5,2,5,6,6,NA,NA,NA,NA,NA,NA,3,2
11102,2018,2,2,89,12,813,6,5,1,1,3,3,1,3,1,1,3,1,1,4,1,1,5,6,NA,NA,NA,NA,NA,2,3,2
11182,2018,2,2,85,6,814,4,12,NA,NA,2,4,1,1,1,2,1,2,4,1,4,1,7,7,NA,NA,NA,NA,NA,NA,10,5
11443,2018,2,2,88,12,813,4,5,2,1,3,3,1,3,3,3,3,1,3,4,3,1,6,6,NA,NA,NA,NA,NA,1,4,2
20021,2018,2,2,85,5,804,2,13,NA,NA,2,2,2,3,2,2,2,2,2,4,2,4,6,6,NA,NA,NA,NA,NA,NA,3,2
20063,2018,2,2,86,11,807,7,12,NA,NA,2,2,2,3,3,3,3,2,NA,5,3,4,5,4,NA,NA,NA,NA,NA,NA,9,5
20101,2018,2,1,84,11,813,7,13,NA,NA,1,1,1,1,1,1,2,1,2,5,3,5,5,6,NA,NA,NA,NA,NA,NA,5,3
20102,2018,2,1,88,8,813,4,13,NA,NA,2,2,1,1,1,1,1,1,2,3,4,4,6,6,NA,NA,NA,NA,NA,NA,6,3
21032,2018,2,2,83,6,813,8,13,NA,NA,3,2,2,3,3,3,2,3,2,5,2,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA
21071,2018,2,2,90,9,830,8,5,2,2,4,3,2,3,4,3,3,3,4,3,3,3,4,5,NA,NA,NA,NA,NA,3,3,2
21081,2018,2,2,85,3,434,8,13,NA,NA,1,1,1,3,2,1,1,3,2,5,3,4,5,6,NA,NA,NA,NA,NA,NA,10,5
21082,2018,2,1,85,3,500,2,13,NA,NA,2,1,1,3,3,2,3,2,2,4,2,3,5,6,NA,NA,NA,NA,NA,NA,10,5
21121,2018,1,1,86,1,813,8,6,NA,NA,1,1,1,1,1,1,1,1,1,5,NA,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA
21251,2018,2,1,88,2,333,7,13,NA,NA,2,3,1,3,3,2,3,1,2,3,2,2,5,6,NA,NA,NA,NA,NA,NA,5,3
21252,2018,2,2,88,2,300,8,13,NA,NA,2,2,3,3,3,2,2,2,4,4,2,2,4,5,NA,NA,NA,NA,NA,NA,5,3
21411,2018,2,2,90,7,813,8,5,2,1,2,3,1,3,3,NA,3,2,2,4,4,4,5,6,NA,NA,NA,NA,NA,1,4,2
21451,2018,1,1,87,10,815,8,13,NA,NA,3,3,3,3,3,NA,2,1,5,4,4,4,5,5,NA,NA,NA,NA,NA,NA,5,3
21551,2018,3,1,89,7,807,4,6,2,3,3,4,2,3,3,2,2,NA,2,4,2,4,6,6,NA,NA,NA,NA,NA,3,4,2
21552,2018,3,2,90,10,807,4,8,2,2,3,4,2,2,1,4,3,2,4,5,3,4,3,3,NA,NA,NA,NA,NA,2,6,3
30193,2018,2,1,83,10,830,4,12,NA,NA,3,2,1,3,3,1,3,3,2,4,1,4,7,7,NA,NA,NA,NA,NA,NA,10,5
31321,2018,2,2,87,3,709,7,13,NA,NA,4,2,2,2,1,1,2,1,2,5,3,5,6,7,NA,NA,NA,NA,NA,NA,8,4
31371,2018,2,1,84,4,802,8,8,NA,NA,1,1,2,1,1,2,2,2,NA,NA,6,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA
31421,2018,3,2,86,1,840,8,13,NA,NA,1,1,1,1,1,3,3,2,3,4,2,2,6,6,NA,NA,NA,NA,NA,NA,7,4
41131,2018,2,2,85,6,807,8,13,NA,NA,3,3,2,3,3,3,3,3,2,4,2,4,5,5,NA,NA,NA,NA,NA,NA,6,3
41132,2018,1,2,86,7,807,8,12,NA,NA,3,3,1,3,3,3,2,2,2,5,2,5,5,5,NA,NA,NA,NA,NA,NA,7,4
41151,2018,3,1,88,9,807,4,5,3,2,2,1,1,1,1,1,1,NA,2,5,2,5,3,5,NA,NA,NA,NA,NA,3,4,2
41271,2018,2,2,88,12,807,8,8,2,1,4,2,3,3,3,3,2,2,2,3,2,2,6,7,NA,NA,NA,NA,NA,3,5,3
41331,2018,2,2,86,10,807,7,13,NA,NA,2,2,3,3,2,1,1,2,4,4,2,4,6,7,NA,NA,NA,NA,NA,NA,10,5
41441,2018,2,1,84,5,807,8,12,NA,NA,1,2,1,2,1,2,2,2,1,4,1,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA
41451,2018,2,2,89,8,807,8,5,2,1,4,3,2,3,4,3,2,NA,4,5,2,3,5,5,NA,NA,NA,NA,NA,2,4,2
41521,2018,2,2,88,10,802,4,5,3,2,4,3,3,3,3,3,3,3,3,5,3,4,3,4,NA,NA,NA,NA,NA,2,3,2
41522,2018,2,1,90,9,802,4,5,2,2,NA,3,1,3,2,2,3,NA,4,5,3,4,5,5,NA,NA,NA,NA,NA,1,3,2
41561,2018,2,2,84,3,807,8,13,NA,NA,2,2,1,3,2,2,2,2,2,4,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA
41562,2018,2,1,86,10,807,4,13,NA,NA,3,2,2,2,2,2,3,2,2,5,2,4,4,4,NA,NA,NA,NA,NA,NA,7,4
41591,2018,2,1,84,12,807,8,12,NA,NA,3,3,2,3,3,1,3,3,1,2,1,2,7,7,NA,NA,NA,NA,NA,NA,10,5
41592,2018,2,1,87,8,807,8,9,2,2,4,3,1,3,4,1,4,3,1,3,1,2,7,7,NA,NA,NA,NA,NA,2,10,5
1010133,2018,2,2,85,9,407,8,13,NA,NA,3,3,1,3,2,1,1,4,3,5,3,2,7,6,NA,NA,NA,NA,NA,NA,3,2
